PC_ID,UTM_E,UTM_N,n_1,n_2,n_3,n_4,n_5,Year,Study_Area,SA_CAT,County,RavenDensity
BC23,460480,4951887,NA,0,0,NA,0,2019,Baker,Baker,Baker,1.109662175
BC25,465029,4947363,0,0,0,0,0,2019,Baker,Baker,Baker,0.560805142
BC26,444477,4958287,0,0,1,0,0,2019,Baker,Baker,Baker,1.257677913
BC27,447867,4981218,0,0,0,0,0,2019,Baker,Baker,Baker,1.298148632
BC28,472330,4941109,0,0,0,0,1,2019,Baker,Baker,Baker,0.738466144
BC29,467620,4947284,0,0,0,1,0,2019,Baker,Baker,Baker,0.401637435
BC30,441822,4974727,0,0,1,1,NA,2019,Baker,Baker,Baker,0.988699794
BC31,443772,4987810,0,0,0,0,0,2019,Baker,Baker,Baker,0.704242706
BC32,456454,4960815,0,0,0,0,0,2019,Baker,Baker,Baker,1.154613256
BC33,445681,4968875,1,1,0,1,0,2019,Baker,Baker,Baker,1.209935427
BC34,445870,4965109,NA,0,NA,NA,NA,2019,Baker,Baker,Baker,1.267196655
BC35,454008,4972968,NA,0,0,0,0,2019,Baker,Baker,Baker,1.092065454
BC36,450677,4985075,0,0,0,0,0,2019,Baker,Baker,Baker,0.542258441
BC37,442466,4955432,0,0,0,0,0,2019,Baker,Baker,Baker,1.248235464
BC38,446885,4971927,0,0,1,1,0,2019,Baker,Baker,Baker,1.458393574
BC39,475630,4957119,NA,0,0,0,0,2019,Baker,Baker,Baker,0.975848496
BU01,421146,4874817,NA,NA,0,1,0,2019,Bully Creek,Bully,Malheur,1.196947336
BU03,416579,4864518,NA,0,1,0,1,2019,Bully Creek,Bully,Malheur,0.916340888
BU06,443325,4879325,0,0,0,0,0,2019,Bully Creek,Bully,Malheur,0.99259454
BU07,432759,4861519,0,NA,0,0,0,2019,Bully Creek,Bully,Malheur,0.658452332
BU08,419268,4865141,NA,NA,0,0,0,2019,Bully Creek,Bully,Malheur,0.995405972
BU09,411896,4869345,0,0,0,0,0,2019,Bully Creek,Bully,Malheur,1.380949855
BU10,430269,4877221,1,NA,0,1,1,2019,Bully Creek,Bully,Malheur,1.629950881
BU11,428332,4856563,0,NA,NA,0,NA,2019,Bully Creek,Bully,Malheur,0.776009083
BU12,416732,4874243,NA,0,0,0,0,2019,Bully Creek,Bully,Malheur,1.231417656
BU14,446679,4875049,0,NA,0,0,1,2019,Bully Creek,Bully,Malheur,1.403093576
BU15,427022,4860593,0,NA,0,0,NA,2019,Bully Creek,Bully,Malheur,0.696880639
BU16,408161,4873429,0,0,NA,0,0,2019,Bully Creek,Bully,Malheur,0.642845154
BU17,430313,4868219,0,NA,0,1,0,2019,Bully Creek,Bully,Malheur,1.018712997
BU18,429532,4884358,0,NA,1,0,0,2019,Bully Creek,Bully,Malheur,1.572104573
BU19,421908,4883810,0,NA,0,0,0,2019,Bully Creek,Bully,Malheur,1.210442066
BU20,435934,4854612,NA,NA,NA,0,NA,2019,Bully Creek,Bully,Malheur,0.576056004
BU21,432775,4864967,0,NA,0,0,0,2019,Bully Creek,Bully,Malheur,0.890686929
BU22,441262,4874370,0,0,0,0,0,2019,Bully Creek,Bully,Malheur,1.875153303
BU23,432775,4864967,0,NA,0,0,0,2019,Bully Creek,Bully,Malheur,0.890686929
BU25,438538,4872134,0,0,0,0,0,2019,Bully Creek,Bully,Malheur,1.386147738
BU26,420986,4878835,0,NA,NA,NA,NA,2019,Bully Creek,Bully,Malheur,0.771179616
BU27,418473,4883443,0,NA,0,0,0,2019,Bully Creek,Bully,Malheur,0.752000511
BU28,416735,4879375,0,NA,NA,0,1,2019,Bully Creek,Bully,Malheur,0.950419188
BU30,420861,4869697,0,NA,0,0,0,2019,Bully Creek,Bully,Malheur,1.088762522
BU31,433432,4877886,0,0,0,0,0,2019,Bully Creek,Bully,Malheur,1.164438844
